,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
17,8.1,0.56,0.28,1.7,0.046,0.19736842105263158,0.18796992481203006,0.9968,3.11,0.5,0.21666666666666679,5,0
18,7.4,0.59,0.08,4.4,0.086,0.06578947368421052,0.08646616541353383,0.9974,3.38,0.5,0.16666666666666666,4,0
19,7.9,0.32,0.51,1.8,0.046,0.21052631578947367,0.18796992481203006,0.9969,3.04,0.5,0.19999999999999987,6,0
20,8.9,0.22,0.48,1.8,0.077,0.3684210526315789,0.20300751879699247,0.9968,3.39,0.53,0.2333333333333334,6,0
21,7.6,0.39,0.31,2.3,0.082,0.2894736842105263,0.24436090225563908,0.9982,3.52,0.65,0.2833333333333332,5,0
22,7.9,0.43,0.21,1.6,0.046,0.11842105263157894,0.11654135338345864,0.9966,3.17,0.5,0.25,5,0
23,8.5,0.49,0.11,2.3,0.084,0.10526315789473684,0.22932330827067668,0.9968,3.17,0.53,0.2333333333333334,5,0
24,6.9,0.4,0.14,2.4,0.085,0.2631578947368421,0.12781954887218044,0.9968,3.43,0.63,0.2833333333333332,6,0
25,6.3,0.39,0.16,1.4,0.08,0.13157894736842105,0.06390977443609022,0.9955,3.34,0.56,0.21666666666666679,5,0
26,7.6,0.41,0.24,1.8,0.08,0.039473684210526314,0.018796992481203006,0.9962,3.28,0.59,0.25,5,0
27,7.9,0.43,0.21,1.6,0.046,0.11842105263157894,0.11654135338345864,0.9966,3.17,0.5,0.25,5,0
28,7.1,0.28,0.31,1.9,0.08,0.17105263157894737,0.10902255639097744,0.9972,3.47,0.55,0.2333333333333334,5,0
29,7.8,0.645,0.31,2.0,0.082,0.09210526315789473,0.03759398496240601,0.9964,3.38,0.59,0.3000000000000001,6,0
30,6.7,0.28,0.07,2.4,0.089,0.21052631578947367,0.2857142857142857,0.9958,3.35,0.54,0.3499999999999999,5,0
31,6.9,0.28,0.31,2.5,0.105,0.27631578947368424,0.11654135338345864,0.9966,3.46,0.57,0.4333333333333333,6,0
32,8.3,0.655,0.12,2.3,0.083,0.18421052631578946,0.40225563909774437,0.9966,3.17,0.66,0.3000000000000001,5,0
33,6.9,0.605,0.12,10.7,0.073,0.5131578947368421,0.2894736842105263,0.9993,3.45,0.52,0.2333333333333334,6,0
34,5.2,0.32,0.25,1.8,0.103,0.15789473684210525,0.16541353383458646,0.9957,3.38,0.55,0.19999999999999987,5,0
35,7.8,0.645,0.31,5.5,0.086,0.05263157894736842,0.045112781954887216,0.9986,3.4,0.55,0.2666666666666666,6,0
36,7.8,0.6,0.14,2.4,0.086,0.02631578947368421,0.03383458646616541,0.9975,3.42,0.6,0.4666666666666668,6,0
37,8.1,0.38,0.28,2.1,0.066,0.15789473684210525,0.09022556390977443,0.9968,3.23,0.73,0.2833333333333332,7,0
38,5.7,0.28,0.09,1.5,0.046,0.07894736842105263,0.04887218045112782,0.994,3.5,0.48,0.3000000000000001,4,0
39,7.3,0.45,0.36,5.9,0.074,0.14473684210526316,0.30451127819548873,0.9978,3.33,0.83,0.4166666666666667,5,0
40,7.3,0.45,0.36,5.9,0.074,0.14473684210526316,0.30451127819548873,0.9978,3.33,0.83,0.4166666666666667,5,0
41,8.8,0.61,0.3,2.8,0.088,0.21052631578947367,0.15037593984962405,0.9976,3.26,0.51,0.21666666666666679,4,0
42,7.5,0.49,0.2,2.6,0.046,0.09210526315789473,0.03007518796992481,0.9968,3.21,0.5,0.4166666666666667,6,0
43,8.1,0.28,0.22,2.2,0.069,0.10526315789473684,0.06390977443609022,0.9968,3.3,0.5,0.38333333333333347,5,0
44,6.8,0.28,0.31,1.8,0.05,0.05263157894736842,0.018796992481203006,0.9962,3.48,0.52,0.25,5,0
45,4.6,0.52,0.15,2.1,0.054,0.09210526315789473,0.22180451127819548,0.9934,3.2,0.56,0.85,4,0
46,7.7,0.28,0.43,2.2,0.046,0.27631578947368424,0.40601503759398494,0.997,3.25,0.73,0.19999999999999987,5,0
47,8.7,0.29,0.52,1.6,0.046,0.14473684210526316,0.11654135338345864,0.9969,3.25,0.58,0.25,5,0
48,6.4,0.4,0.23,1.6,0.066,0.05263157894736842,0.022556390977443608,0.9958,3.34,0.56,0.19999999999999987,5,0
49,5.6,0.31,0.37,1.4,0.074,0.14473684210526316,0.3383458646616541,0.9954,3.32,0.58,0.19999999999999987,5,0
50,8.8,0.28,0.26,1.7,0.074,0.039473684210526314,0.06390977443609022,0.9971,3.15,0.74,0.19999999999999987,5,0
51,6.6,0.52,0.04,2.2,0.069,0.09210526315789473,0.03383458646616541,0.9956,3.4,0.63,0.2333333333333334,6,0
52,6.6,0.5,0.04,2.1,0.068,0.06578947368421052,0.03007518796992481,0.9955,3.39,0.64,0.2333333333333334,6,0
53,8.6,0.38,0.36,3.0,0.081,0.3815789473684211,0.424812030075188,0.997,3.2,0.56,0.2333333333333334,5,0
54,7.6,0.51,0.15,2.8,0.046,0.42105263157894735,0.2518796992481203,0.9955,3.17,0.63,0.36666666666666653,6,0
55,7.7,0.62,0.04,3.8,0.084,0.3157894736842105,0.14661654135338345,0.9978,3.34,0.53,0.25,5,0
56,6.9,0.42,0.57,3.4,0.07,0.039473684210526314,0.015037593984962405,0.9971,3.04,0.63,0.2666666666666666,5,0
57,7.5,0.63,0.12,5.1,0.046,0.6447368421052632,0.39097744360902253,0.9983,3.26,0.77,0.2333333333333334,5,0
58,7.8,0.59,0.18,2.3,0.076,0.21052631578947367,0.18045112781954886,0.9975,3.43,0.59,0.3333333333333333,5,0
59,7.3,0.39,0.31,2.4,0.074,0.10526315789473684,0.15037593984962405,0.9962,3.41,0.54,0.2333333333333334,6,0
60,8.8,0.4,0.4,2.2,0.079,0.23684210526315788,0.17293233082706766,0.998,3.44,0.64,0.19999999999999987,5,0
61,7.7,0.28,0.49,1.8,0.046,0.25,0.39849624060150374,0.9968,3.21,0.71,0.21666666666666679,5,0
62,7.5,0.52,0.16,1.9,0.085,0.14473684210526316,0.10902255639097744,0.9968,3.38,0.62,0.25,7,0
63,7.0,0.28,0.05,2.0,0.081,0.15789473684210525,0.18045112781954886,0.9966,3.39,0.57,0.3000000000000001,5,0
64,7.2,0.28,0.05,4.65,0.086,0.039473684210526314,0.018796992481203006,0.9962,3.41,0.39,0.4833333333333334,5,0
65,7.2,0.28,0.05,4.65,0.086,0.039473684210526314,0.018796992481203006,0.9962,3.41,0.39,0.4833333333333334,5,0
66,7.5,0.52,0.11,1.5,0.079,0.13157894736842105,0.12406015037593984,0.9968,3.42,0.58,0.2666666666666666,5,0
67,6.6,0.28,0.07,1.6,0.076,0.06578947368421052,0.03383458646616541,0.9962,3.44,0.58,0.4499999999999999,5,0
68,9.3,0.32,0.57,2.0,0.074,0.34210526315789475,0.22180451127819548,0.9969,3.28,0.79,0.4499999999999999,5,0
69,8.0,0.28,0.05,1.9,0.074,0.09210526315789473,0.04887218045112782,0.9962,3.34,0.5,0.4166666666666667,6,0
70,7.7,0.63,0.08,1.9,0.076,0.18421052631578946,0.07894736842105263,0.9967,3.32,0.54,0.25,6,0
71,7.7,0.28,0.23,2.1,0.088,0.21052631578947367,0.3383458646616541,0.9962,3.32,0.48,0.25,5,0
72,7.7,0.28,0.22,1.9,0.084,0.2236842105263158,0.3308270676691729,0.9961,3.31,0.48,0.25,5,0
73,8.3,0.28,0.26,2.1,0.084,0.13157894736842105,0.13909774436090225,0.9976,3.31,0.53,0.19999999999999987,4,0
74,6.9,0.32,0.54,2.5,0.094,0.35526315789473684,0.2894736842105263,0.9984,3.28,0.82,0.2666666666666666,5,0
75,8.8,0.41,0.31,2.2,0.093,0.10526315789473684,0.13533834586466165,0.9986,3.54,0.66,0.4166666666666667,5,0
76,8.8,0.41,0.31,2.2,0.093,0.10526315789473684,0.13533834586466165,0.9986,3.54,0.66,0.4166666666666667,5,0
77,6.8,0.28,0.31,2.4,0.104,0.17105263157894737,0.09022556390977443,0.9966,3.52,0.55,0.4499999999999999,6,0
78,6.7,0.28,0.12,2.0,0.086,0.14473684210526316,0.2781954887218045,0.9958,3.38,0.52,0.3499999999999999,5,0
79,8.3,0.625,0.2,1.5,0.08,0.34210526315789475,0.424812030075188,0.9972,3.16,0.5,0.18333333333333326,4,0
80,6.2,0.45,0.2,1.6,0.069,0.02631578947368421,0.03383458646616541,0.9958,3.41,0.56,0.19999999999999987,5,0
81,7.8,0.43,0.31,1.9,0.046,0.27631578947368424,0.22932330827067668,0.9974,3.13,0.5,0.2333333333333334,5,0
82,7.4,0.5,0.47,2.0,0.086,0.2631578947368421,0.2518796992481203,0.997,3.36,0.57,0.18333333333333326,5,0
83,7.3,0.28,0.26,1.8,0.046,0.19736842105263158,0.16917293233082706,0.9969,3.16,0.5,0.2333333333333334,5,0
84,6.3,0.3,0.48,1.8,0.069,0.2236842105263158,0.20676691729323307,0.9959,3.44,0.78,0.38333333333333347,6,0
85,6.9,0.55,0.15,2.2,0.076,0.23684210526315788,0.12781954887218044,0.9961,3.41,0.59,0.3499999999999999,5,0
86,8.6,0.49,0.28,1.9,0.046,0.25,0.48872180451127817,0.9972,2.93,0.5,0.3166666666666667,6,0
87,7.7,0.49,0.26,1.9,0.062,0.10526315789473684,0.09398496240601503,0.9966,3.39,0.64,0.2666666666666666,5,0
88,9.3,0.39,0.44,2.1,0.046,0.4342105263157895,0.4473684210526316,0.9978,3.14,0.5,0.25,5,0
89,7.0,0.62,0.08,1.8,0.076,0.09210526315789473,0.06766917293233082,0.9978,3.48,0.53,0.16666666666666666,5,0
90,7.9,0.52,0.26,1.9,0.079,0.5394736842105263,0.5037593984962406,0.9964,3.23,0.54,0.25,5,0
91,8.6,0.49,0.28,1.9,0.046,0.25,0.48872180451127817,0.9972,2.93,0.5,0.3166666666666667,6,0
92,8.6,0.49,0.29,2.0,0.046,0.23684210526315788,0.4774436090225564,0.9972,2.93,0.5,0.3000000000000001,5,0
93,7.7,0.49,0.26,1.9,0.062,0.10526315789473684,0.09398496240601503,0.9966,3.39,0.64,0.2666666666666666,5,0
94,5.0,0.28,0.04,1.4,0.045,0.5263157894736842,0.29699248120300753,0.9938,3.2,0.48,0.4166666666666667,4,0
95,4.7,0.6,0.17,2.3,0.058,0.21052631578947367,0.37593984962406013,0.9932,3.2,0.6,0.8166666666666668,6,0
96,6.8,0.28,0.31,3.0,0.102,0.09210526315789473,0.06390977443609022,0.9965,3.45,0.56,0.4499999999999999,5,0
97,7.0,0.5,0.25,2.0,0.07,0.02631578947368421,0.06015037593984962,0.9963,3.25,0.63,0.19999999999999987,5,0
98,7.6,0.28,0.06,2.5,0.079,0.05263157894736842,0.015037593984962405,0.9967,3.39,0.56,0.3000000000000001,5,0
99,8.1,0.545,0.18,1.9,0.08,0.15789473684210525,0.10902255639097744,0.9972,3.3,0.59,0.16666666666666666,6,0
100,8.3,0.61,0.3,2.1,0.084,0.13157894736842105,0.16541353383458646,0.9972,3.4,0.61,0.36666666666666653,6,0
101,7.8,0.5,0.3,1.9,0.075,0.09210526315789473,0.06015037593984962,0.9959,3.31,0.56,0.4000000000000001,6,0
102,8.1,0.545,0.18,1.9,0.08,0.15789473684210525,0.10902255639097744,0.9972,3.3,0.59,0.16666666666666666,6,0
103,8.1,0.575,0.22,2.1,0.077,0.14473684210526316,0.22180451127819548,0.9967,3.29,0.51,0.19999999999999987,5,0
104,7.2,0.49,0.24,2.2,0.07,0.05263157894736842,0.11278195488721804,0.996,3.33,0.48,0.2333333333333334,5,0
105,8.1,0.575,0.22,2.1,0.077,0.14473684210526316,0.22180451127819548,0.9967,3.29,0.51,0.19999999999999987,5,0
106,7.8,0.41,0.31,1.7,0.046,0.2236842105263158,0.23684210526315788,0.9973,3.08,0.5,0.21666666666666679,5,0
107,6.2,0.63,0.31,1.7,0.088,0.18421052631578946,0.21804511278195488,0.9969,3.46,0.79,0.21666666666666679,5,0
108,8.0,0.33,0.53,2.5,0.091,0.2236842105263158,0.2781954887218045,0.9976,3.37,0.8,0.2666666666666666,6,0
109,8.1,0.28,0.52,2.0,0.046,0.47368421052631576,0.5526315789473685,0.9969,3.21,0.69,0.21666666666666679,5,0
110,7.8,0.56,0.19,1.8,0.104,0.14473684210526316,0.15413533834586465,0.9964,3.19,0.5,0.25,5,0
111,8.4,0.62,0.09,2.2,0.084,0.13157894736842105,0.38345864661654133,0.9964,3.15,0.66,0.3000000000000001,5,0
112,8.4,0.6,0.1,2.2,0.085,0.17105263157894737,0.39473684210526316,0.9964,3.15,0.66,0.3000000000000001,5,0
113,6.9,0.31,0.44,2.3,0.08,0.27631578947368424,0.15037593984962405,0.9988,3.32,0.67,0.2833333333333332,6,0
114,7.8,0.56,0.19,1.8,0.104,0.14473684210526316,0.15413533834586465,0.9964,3.19,0.5,0.25,5,0
115,9.4,0.4,0.31,2.2,0.09,0.15789473684210525,0.21052631578947367,0.9966,3.07,0.63,0.4166666666666667,6,0
116,8.3,0.54,0.28,1.9,0.077,0.13157894736842105,0.12781954887218044,0.9978,3.39,0.61,0.3333333333333333,6,0
117,7.8,0.56,0.12,2.0,0.082,0.07894736842105263,0.08270676691729323,0.997,3.37,0.5,0.2333333333333334,6,0
118,8.8,0.55,0.04,2.2,0.046,0.17105263157894737,0.18796992481203006,0.9962,3.21,0.6,0.4833333333333334,6,0
119,7.0,0.28,0.08,1.8,0.097,0.27631578947368424,0.31203007518796994,0.9959,3.34,0.54,0.19999999999999987,6,0
120,7.3,0.28,0.09,1.7,0.046,0.11842105263157894,0.31203007518796994,0.9962,3.3,0.57,0.16666666666666666,5,0
121,8.8,0.55,0.04,2.2,0.046,0.17105263157894737,0.18796992481203006,0.9962,3.21,0.6,0.4833333333333334,6,0
122,7.3,0.28,0.31,2.5,0.075,0.02631578947368421,0.02631578947368421,0.998,3.49,0.52,0.19999999999999987,5,0
123,8.0,0.28,0.31,2.6,0.08,0.13157894736842105,0.10526315789473684,0.9976,3.44,0.53,0.25,5,0
124,7.8,0.5,0.17,1.6,0.082,0.2631578947368421,0.3609022556390977,0.996,3.39,0.48,0.25,5,0
125,9.0,0.62,0.04,1.9,0.046,0.34210526315789475,0.3157894736842105,0.9984,3.16,0.7,0.2333333333333334,5,0
126,8.2,0.28,0.31,1.7,0.081,0.02631578947368421,0.022556390977443608,0.9964,3.53,0.49,0.4833333333333334,5,0
127,8.1,0.28,0.31,1.8,0.082,0.02631578947368421,0.022556390977443608,0.9964,3.54,0.48,0.4833333333333334,5,0
128,8.0,0.59,0.16,1.8,0.065,0.02631578947368421,0.03759398496240601,0.9962,3.42,0.5,0.4166666666666667,7,0
129,6.1,0.38,0.15,1.8,0.072,0.06578947368421052,0.04887218045112782,0.9955,3.42,0.57,0.2333333333333334,5,0
130,8.0,0.28,0.56,2.0,0.046,0.3815789473684211,0.48120300751879697,0.9968,3.24,0.66,0.2333333333333334,5,0
131,5.6,0.5,0.09,2.3,0.049,0.21052631578947367,0.34962406015037595,0.9937,3.63,0.63,0.8333333333333334,5,0
132,5.6,0.5,0.09,2.3,0.049,0.21052631578947367,0.34962406015037595,0.9937,3.63,0.63,0.8333333333333334,5,0
133,6.6,0.5,0.31,1.5,0.06,0.21052631578947367,0.07518796992481203,0.9952,3.4,0.58,0.3000000000000001,6,0
134,7.9,0.28,0.05,2.2,0.084,0.15789473684210525,0.08646616541353383,0.9959,3.22,0.55,0.3166666666666667,6,0
135,8.4,0.28,0.11,1.9,0.09,0.19736842105263158,0.21428571428571427,0.9965,3.19,0.82,0.2666666666666666,5,0
136,8.3,0.28,0.15,1.8,0.089,0.11842105263157894,0.17293233082706766,0.9968,3.23,0.77,0.25,5,0
137,7.2,0.415,0.36,2.0,0.081,0.15789473684210525,0.14661654135338345,0.9972,3.48,0.64,0.19999999999999987,5,0
138,7.8,0.56,0.19,2.1,0.081,0.18421052631578946,0.37218045112781956,0.9962,3.33,0.54,0.25,5,0
139,7.8,0.56,0.19,2.0,0.081,0.21052631578947367,0.38345864661654133,0.9962,3.32,0.54,0.25,5,0
140,8.4,0.28,0.11,1.9,0.09,0.19736842105263158,0.21428571428571427,0.9965,3.19,0.82,0.2666666666666666,5,0
141,8.3,0.28,0.15,1.8,0.089,0.11842105263157894,0.17293233082706766,0.9968,3.23,0.77,0.25,5,0
142,5.2,0.34,0.31,1.8,0.05,0.34210526315789475,0.21428571428571427,0.9916,3.2,0.79,1.0,6,0
143,6.3,0.39,0.08,1.7,0.066,0.02631578947368421,0.05263157894736842,0.9954,3.34,0.58,0.2333333333333334,5,0
144,5.2,0.34,0.31,1.8,0.05,0.34210526315789475,0.21428571428571427,0.9916,3.2,0.79,1.0,6,0
145,8.1,0.28,0.55,1.8,0.046,0.40789473684210525,0.5075187969924813,0.9968,3.17,0.62,0.2333333333333334,5,0
146,5.8,0.28,0.31,1.8,0.087,0.2631578947368421,0.3308270676691729,0.9944,3.54,0.52,0.3333333333333333,5,0
147,7.6,0.49,0.26,1.6,0.046,0.11842105263157894,0.3082706766917293,0.9968,3.11,0.8,0.21666666666666679,5,0
148,6.9,0.49,0.1,2.3,0.074,0.14473684210526316,0.09022556390977443,0.9959,3.42,0.58,0.36666666666666653,6,0
149,8.2,0.4,0.44,2.8,0.089,0.13157894736842105,0.13909774436090225,0.9975,3.53,0.61,0.4166666666666667,6,0
150,7.3,0.33,0.47,2.1,0.077,0.05263157894736842,0.018796992481203006,0.9958,3.33,0.53,0.38333333333333347,6,0
151,9.2,0.52,0.31,3.4,0.046,0.40789473684210525,0.23684210526315788,0.9996,3.2,0.5,0.2333333333333334,4,0
152,7.5,0.6,0.31,1.8,0.095,0.3157894736842105,0.34962406015037595,0.995,3.35,0.54,0.3499999999999999,5,0
153,7.5,0.6,0.31,1.8,0.095,0.3157894736842105,0.34962406015037595,0.995,3.35,0.54,0.3499999999999999,5,0
154,7.1,0.43,0.42,5.5,0.07,0.3684210526315789,0.462406015037594,0.9973,3.42,0.72,0.4166666666666667,5,0
155,7.1,0.43,0.42,5.5,0.071,0.35526315789473684,0.45864661654135336,0.9973,3.42,0.71,0.4166666666666667,5,0
156,7.1,0.43,0.42,5.5,0.07,0.3684210526315789,0.462406015037594,0.9973,3.42,0.72,0.4166666666666667,5,0
157,7.1,0.43,0.42,5.5,0.071,0.35526315789473684,0.45864661654135336,0.9973,3.42,0.71,0.4166666666666667,5,0
158,7.1,0.28,0.31,2.2,0.073,0.14473684210526316,0.06015037593984962,0.9969,3.48,0.5,0.21666666666666679,5,0
159,6.8,0.6,0.18,1.9,0.079,0.2236842105263158,0.3007518796992481,0.9968,3.59,0.57,0.21666666666666679,6,0
160,7.6,0.28,0.31,2.0,0.09,0.07894736842105263,0.05263157894736842,0.9959,3.2,0.56,0.2666666666666666,5,0
161,7.6,0.28,0.31,1.3,0.072,0.10526315789473684,0.05263157894736842,0.9965,3.17,0.5,0.19999999999999987,4,0
162,7.8,0.53,0.04,1.7,0.076,0.21052631578947367,0.09398496240601503,0.9964,3.33,0.56,0.3333333333333333,6,0
163,7.4,0.6,0.26,7.3,0.07,0.4605263157894737,0.4323308270676692,0.9982,3.37,0.49,0.2333333333333334,5,0
164,7.3,0.59,0.26,7.2,0.07,0.4473684210526316,0.4323308270676692,0.9981,3.37,0.49,0.2333333333333334,5,0
165,7.8,0.63,0.48,1.7,0.1,0.17105263157894737,0.3383458646616541,0.9961,3.19,0.62,0.25,5,0
166,6.8,0.64,0.1,2.1,0.085,0.2236842105263158,0.35714285714285715,0.9956,3.34,0.52,0.36666666666666653,5,0
167,7.3,0.55,0.31,1.6,0.072,0.21052631578947367,0.13533834586466165,0.9956,3.37,0.48,0.16666666666666666,4,0
168,6.8,0.63,0.07,2.1,0.089,0.13157894736842105,0.14285714285714285,0.9953,3.47,0.55,0.4000000000000001,6,0
169,7.5,0.28,0.24,1.8,0.046,0.18421052631578946,0.21428571428571427,0.9964,3.0,0.5,0.25,5,0
170,7.9,0.28,0.31,1.8,0.058,0.039473684210526314,0.007518796992481203,0.9972,3.36,0.33,0.18333333333333326,4,0
171,8.0,0.42,0.17,2.0,0.073,0.06578947368421052,0.045112781954887216,0.9972,3.29,0.61,0.19999999999999987,6,0
172,8.0,0.42,0.17,2.0,0.073,0.06578947368421052,0.045112781954887216,0.9972,3.29,0.61,0.19999999999999987,6,0
173,7.4,0.62,0.05,1.9,0.068,0.3026315789473684,0.13533834586466165,0.9961,3.42,0.57,0.5833333333333334,6,0
174,7.3,0.38,0.21,2.0,0.08,0.07894736842105263,0.10902255639097744,0.9961,3.33,0.47,0.25,5,0
175,6.9,0.5,0.04,1.5,0.085,0.23684210526315788,0.16165413533834586,0.9958,3.35,0.78,0.25,5,0
176,7.3,0.38,0.21,2.0,0.08,0.07894736842105263,0.10902255639097744,0.9961,3.33,0.47,0.25,5,0
177,7.5,0.52,0.42,2.3,0.087,0.09210526315789473,0.12030075187969924,0.9972,3.58,0.61,0.4166666666666667,6,0
178,7.0,0.28,0.31,2.5,0.068,0.07894736842105263,0.05263157894736842,0.9969,3.48,0.56,0.2666666666666666,5,0
179,8.8,0.61,0.14,2.4,0.067,0.11842105263157894,0.13533834586466165,0.9969,3.19,0.59,0.25,5,0
180,8.8,0.61,0.14,2.4,0.067,0.11842105263157894,0.13533834586466165,0.9969,3.19,0.59,0.25,5,0
181,8.9,0.61,0.49,2.0,0.046,0.2894736842105263,0.39097744360902253,0.9972,3.12,0.5,0.21666666666666679,5,0
182,7.2,0.28,0.31,2.5,0.076,0.19736842105263158,0.13533834586466165,0.9972,3.44,0.52,0.21666666666666679,5,0
183,6.8,0.61,0.2,1.8,0.077,0.13157894736842105,0.22180451127819548,0.9971,3.54,0.58,0.21666666666666679,5,0
184,6.7,0.62,0.21,1.9,0.079,0.09210526315789473,0.21052631578947367,0.997,3.52,0.58,0.21666666666666679,6,0
185,8.9,0.31,0.57,2.0,0.046,0.32894736842105265,0.29699248120300753,0.9971,3.26,0.53,0.2833333333333332,5,0
186,7.4,0.39,0.48,2.0,0.082,0.17105263157894737,0.22932330827067668,0.9972,3.34,0.55,0.19999999999999987,5,0
187,7.7,0.28,0.1,2.6,0.084,0.10526315789473684,0.07518796992481203,0.9976,3.39,0.49,0.2833333333333332,5,0
188,7.9,0.5,0.33,2.0,0.084,0.18421052631578946,0.5150375939849624,0.9968,3.2,0.55,0.25,5,0
189,7.9,0.49,0.32,1.9,0.082,0.21052631578947367,0.518796992481203,0.9968,3.2,0.55,0.25,5,0
190,8.2,0.5,0.35,2.9,0.077,0.2631578947368421,0.4548872180451128,0.9976,3.23,0.62,0.2333333333333334,5,0
191,6.4,0.37,0.25,1.9,0.074,0.2631578947368421,0.16165413533834586,0.9974,3.57,0.62,0.3000000000000001,6,0
192,6.8,0.63,0.12,3.8,0.099,0.19736842105263158,0.45112781954887216,0.9969,3.28,0.61,0.25,5,0
193,7.6,0.55,0.21,2.2,0.071,0.07894736842105263,0.08270676691729323,0.9964,3.28,0.55,0.2833333333333332,5,0
194,7.6,0.55,0.21,2.2,0.071,0.07894736842105263,0.08270676691729323,0.9964,3.28,0.55,0.2833333333333332,5,0
195,7.8,0.59,0.33,2.0,0.074,0.3026315789473684,0.42857142857142855,0.9968,3.25,0.54,0.2333333333333334,5,0
196,7.3,0.58,0.3,2.4,0.074,0.18421052631578946,0.18421052631578946,0.9968,3.46,0.59,0.36666666666666653,5,0
197,6.9,0.3,0.6,2.0,0.067,0.14473684210526316,0.07894736842105263,0.9981,3.11,0.5,0.3499999999999999,6,0
198,5.4,0.28,0.08,1.2,0.046,0.15789473684210525,0.32706766917293234,0.9924,3.57,0.85,0.8333333333333334,7,0
199,6.9,0.28,0.06,2.1,0.061,0.14473684210526316,0.09398496240601503,0.9948,3.51,0.43,0.5666666666666668,4,0
200,9.6,0.32,0.47,1.4,0.056,0.10526315789473684,0.06766917293233082,0.99695,3.22,0.82,0.38333333333333347,7,0
201,8.8,0.37,0.48,2.1,0.097,0.5,0.5225563909774437,0.9975,3.04,0.5,0.21666666666666679,5,0
202,6.8,0.5,0.11,1.5,0.075,0.19736842105263158,0.16165413533834586,0.99545,3.36,0.79,0.25,5,0
203,7.0,0.42,0.35,1.6,0.088,0.19736842105263158,0.12406015037593984,0.9961,3.34,0.55,0.19999999999999987,5,0
204,7.0,0.43,0.36,1.6,0.089,0.17105263157894737,0.11654135338345864,0.99615,3.34,0.56,0.19999999999999987,6,0
205,6.9,0.3,0.31,2.6,0.095,0.10526315789473684,0.08270676691729323,0.9994,3.2,0.77,0.4666666666666668,7,0
206,6.9,0.3,0.31,2.6,0.095,0.10526315789473684,0.08270676691729323,0.9994,3.2,0.77,0.4666666666666668,7,0
207,7.8,0.57,0.31,1.8,0.069,0.32894736842105265,0.42857142857142855,0.99625,3.29,0.53,0.21666666666666679,5,0
208,7.8,0.44,0.28,2.7,0.1,0.2236842105263158,0.33458646616541354,0.9966,3.22,0.67,0.2333333333333334,5,0
209,6.9,0.3,0.58,2.1,0.054,0.07894736842105263,0.04887218045112782,0.998,3.31,0.5,0.4166666666666667,7,0
210,6.9,0.53,0.6,2.0,0.039,0.05263157894736842,0.04887218045112782,0.99585,3.3,0.5,0.7333333333333334,6,0
211,8.0,0.28,0.24,2.8,0.083,0.11842105263157894,0.21052631578947367,0.99685,3.35,0.56,0.3333333333333333,6,0
212,6.9,0.44,0.31,2.1,0.059,0.05263157894736842,0.03383458646616541,0.998,3.21,0.67,0.36666666666666653,6,0
